2.297	10.40	34.94
2.297	10.40	34.94
2.297	10.39	34.94
2.297	10.39	34.94
2.297	10.40	34.94
2.297	10.40	34.94
2.297	10.39	34.94
2.297	10.40	34.94
2.297	10.40	34.94
2.297	10.40	34.94
2.297	10.40	34.94
2.297	10.40	34.94
2.298	10.40	34.94
2.297	10.40	34.94
2.297	10.40	34.94
2.297	10.40	34.94
2.297	10.40	34.94
2.297	10.40	34.94
2.297	10.40	34.94
2.297	10.40	34.94
2.297	10.40	34.94
2.297	10.40	34.94
2.296	10.41	34.94
2.296	10.40	34.94
2.296	10.41	34.94
2.295	10.40	34.94
2.295	10.40	34.94
2.294	10.41	34.94
2.293	10.41	34.94
2.293	10.41	34.94
2.292	10.42	34.94
2.290	10.42	34.94
2.288	10.44	34.94
2.287	10.45	34.94
2.287	10.45	34.94
2.285	10.46	34.94
2.284	10.46	34.93
2.282	10.43	34.94
2.281	10.45	34.94
2.280	10.45	34.93
2.279	10.45	34.94
2.278	10.45	34.94
2.278	10.45	34.93
2.276	10.46	34.93
2.275	10.45	34.94
2.273	10.46	34.93
2.271	10.47	34.93
2.269	10.47	34.93
2.268	10.47	34.93
2.267	10.48	34.93
2.266	10.47	34.93
2.265	10.49	34.93
2.263	10.51	34.93
2.263	10.50	34.93
2.262	10.52	34.93
2.260	10.53	34.93
2.259	10.53	34.93
2.258	10.53	34.93
2.257	10.53	34.93
2.256	10.55	34.93
2.255	10.57	34.93
2.254	10.57	34.93
2.254	10.61	34.93
2.252	10.61	34.93
2.252	10.61	34.93
2.252	10.61	34.93
2.252	10.60	34.93
2.252	10.60	34.93
2.252	10.61	34.93
2.251	10.62	34.93
2.249	10.63	34.93
2.248	10.63	34.93
2.246	10.67	34.93
2.243	10.70	34.93
2.241	10.72	34.93
2.239	10.74	34.93
2.237	10.75	34.93
2.235	10.76	34.93
2.233	10.77	34.93
2.230	10.77	34.93
2.228	10.78	34.93
2.226	10.78	34.93
2.225	10.78	34.93
2.224	10.79	34.93
2.223	10.79	34.93
2.223	10.79	34.93
2.222	10.79	34.93
2.221	10.80	34.93
2.219	10.80	34.93
2.218	10.81	34.93
2.216	10.82	34.93
2.216	10.83	34.93
2.216	10.83	34.93
2.216	10.82	34.93
2.216	10.83	34.93
2.215	10.83	34.93
2.213	10.83	34.93
2.212	10.83	34.93
2.210	10.84	34.93
2.207	10.84	34.93
